review_id,product,review_text,rating
1,Headphones,Sound is great but the battery dies quickly after a few hours.,3
2,Headphones,Excellent sound quality and very comfortable.,5
3,Headphones,Delivery took too long and the box was damaged.,2
4,Coffee Machine,Easy to use and makes very good coffee.,5
5,Coffee Machine,The water tank leaks and support was slow to reply.,2
6,Coffee Machine,Good machine but the instructions were confusing.,3
7,Smart Watch,Looks great but the app keeps disconnecting.,2
8,Smart Watch,Very useful features and the battery life is excellent.,5
9,Smart Watch,Setup was frustrating and syncing took too long.,2
10,Blender,Powerful motor and easy to clean.,5
11,Blender,Too noisy and one part feels cheap.,3
12,Blender,Arrived late and the lid was cracked.,1
